21.9575;21.9679;21.9732;21.9759;21.9773;21.978;21.9783;21.9785;21.9786;21.9786;21.9787;21.9787;21.9787;21.9787;21.9787;21.9787;21.9787;21.9787;21.9787;21.9787;21.9787;21.9787;21.9787;21.9787;21.9787;21.9787;21.9787;21.9786;21.9786;21.9785;21.9784;21.978;21.9774;21.9762;21.9738;21.9691;21.96;21.9425;21.9116;21.8438;
21.9679;21.9783;21.9836;21.9863;21.9877;21.9884;21.9888;21.9889;21.989;21.9891;21.9891;21.9891;21.9891;21.9891;21.9891;21.9891;21.9891;21.9891;21.9891;21.9891;21.9891;21.9891;21.9891;21.9891;21.9891;21.9891;21.9891;21.9891;21.989;21.989;21.9888;21.9885;21.9878;21.9866;21.9842;21.9795;21.9703;21.9525;21.9169;21.8445;
21.9732;21.9836;21.9889;21.9916;21.993;21.9937;21.9941;21.9943;21.9944;21.9944;21.9944;21.9944;21.9944;21.9944;21.9945;21.9945;21.9945;21.9945;21.9945;21.9945;21.9945;21.9945;21.9945;21.9944;21.9944;21.9944;21.9944;21.9944;21.9944;21.9943;21.9941;21.9938;21.9931;21.9919;21.9895;21.9847;21.9753;21.9568;21.9199;21.8469;
21.9759;21.9863;21.9916;21.9943;21.9957;21.9964;21.9968;21.997;21.9971;21.9971;21.9971;21.9972;21.9972;21.9972;21.9972;21.9972;21.9972;21.9972;21.9972;21.9972;21.9972;21.9972;21.9972;21.9972;21.9972;21.9972;21.9971;21.9971;21.9971;21.997;21.9968;21.9965;21.9959;21.9946;21.9921;21.9873;21.9777;21.9588;21.9216;21.8484;
21.9773;21.9877;21.993;21.9957;21.9971;21.9978;21.9982;21.9984;21.9985;21.9985;21.9985;21.9985;21.9985;21.9986;21.9986;21.9986;21.9986;21.9986;21.9986;21.9986;21.9986;21.9986;21.9986;21.9986;21.9985;21.9985;21.9985;21.9985;21.9985;21.9984;21.9982;21.9979;21.9972;21.996;21.9935;21.9886;21.9789;21.9599;21.9226;21.8493;
21.978;21.9884;21.9937;21.9964;21.9978;21.9985;21.9989;21.9991;21.9992;21.9992;21.9992;21.9992;21.9993;21.9993;21.9993;21.9993;21.9993;21.9993;21.9993;21.9993;21.9993;21.9993;21.9993;21.9993;21.9993;21.9993;21.9992;21.9992;21.9992;21.9991;21.9989;21.9986;21.9979;21.9967;21.9941;21.9892;21.9795;21.9604;21.923;21.8497;
21.9783;21.9888;21.9941;21.9968;21.9982;21.9989;21.9992;21.9994;21.9995;21.9996;21.9996;21.9996;21.9996;21.9996;21.9996;21.9996;21.9996;21.9996;21.9996;21.9996;21.9996;21.9996;21.9996;21.9996;21.9996;21.9996;21.9996;21.9996;21.9995;21.9994;21.9993;21.9989;21.9983;21.997;21.9945;21.9895;21.9798;21.9607;21.9233;21.85;
21.9785;21.9889;21.9943;21.997;21.9984;21.9991;21.9994;21.9996;21.9997;21.9998;21.9998;21.9998;21.9998;21.9998;21.9998;21.9998;21.9998;21.9998;21.9998;21.9998;21.9998;21.9998;21.9998;21.9998;21.9998;21.9998;21.9998;21.9998;21.9997;21.9996;21.9995;21.9991;21.9985;21.9972;21.9946;21.9897;21.9799;21.9609;21.9234;21.8501;
21.9786;21.989;21.9944;21.9971;21.9985;21.9992;21.9995;21.9997;21.9998;21.9999;21.9999;21.9999;21.9999;21.9999;21.9999;21.9999;21.9999;21.9999;21.9999;21.9999;21.9999;21.9999;21.9999;21.9999;21.9999;21.9999;21.9999;21.9999;21.9998;21.9997;21.9996;21.9992;21.9986;21.9973;21.9947;21.9898;21.98;21.9609;21.9235;21.8502;
21.9786;21.9891;21.9944;21.9971;21.9985;21.9992;21.9996;21.9998;21.9999;21.9999;21.9999;21.9999;21.9999;21.9999;21.9999;21.9999;21.9999;21.9999;21.9999;21.9999;21.9999;21.9999;21.9999;21.9999;21.9999;21.9999;21.9999;21.9999;21.9999;21.9998;21.9996;21.9993;21.9986;21.9973;21.9948;21.9898;21.9801;21.961;21.9236;21.8502;
